t, desired_pos, desired_vel, desired_tor, pos, vel, tau
1.286243009567260742e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,5.860805860805839984e-03,4.817582417582428889e+00
1.289439916610717773e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,1.758241758241751995e-02,5.028571428571439128e+00
1.292554903030395508e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-9.768009768009733307e-03,4.817582417582428889e+00
1.295678758621215820e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,1.953601953601946661e-03,4.747252747252758809e+00
1.298854589462280273e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-5.860805860805839984e-03,4.887912087912098968e+00
1.301995801925659180e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,5.860805860805839984e-03,4.817582417582428889e+00
1.303667902946472168e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,1.953601953601946661e-03,4.747252747252758809e+00
1.306076645851135254e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-5.860805860805839984e-03,4.887912087912098968e+00
1.309261775016784668e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,5.860805860805839984e-03,4.887912087912098968e+00
1.312407231330871582e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-5.860805860805839984e-03,4.887912087912098968e+00
1.315616369247436523e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,1.953601953601946661e-03,4.817582417582428889e+00
1.318794083595275879e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-1.953601953601946661e-03,4.958241758241769048e+00
1.321960520744323730e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,5.860805860805839984e-03,4.747252747252758809e+00
1.325146269798278809e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-5.860805860805839984e-03,4.887912087912098968e+00
1.328358101844787598e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-1.953601953601946661e-03,4.887912087912098968e+00
1.331551694869995117e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-1.953601953601946661e-03,4.887912087912098968e+00
1.334730172157287598e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-5.860805860805839984e-03,4.817582417582428889e+00
1.337944531440734863e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-1.953601953601946661e-03,4.817582417582428889e+00
1.341092658042907715e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-1.758241758241751995e-02,4.958241758241769048e+00
1.344302320480346680e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-1.953601953601946661e-03,4.817582417582428889e+00
1.347501397132873535e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,5.860805860805839984e-03,4.958241758241769048e+00
1.350703454017639160e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.520790417334257683e-01,-9.768009768009733307e-03,4.887912087912098968e+00
